"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iccat","BRA",-32.5,-47.5,1992,25200,8.823,0,0.255,0,8.406,0,0.162,0
"iccat","TAI",-32.5,-47.5,1993,75708,10.4,546,0,0,10.4,546,0,0
"iccat","BRA",-32.5,-47.5,2015,2700,0,81,0,40,0,33,0,8
"iccat","TAI",-27.5,-47.5,1993,75708,12.9,661,1.2,52,9.8,515,1.9,94
"iccat","BRA",-27.5,-47.5,2009,18750,1.059,0,0.179,0,0.846,0,0.034,0
"iccat","TAI",-22.5,-47.5,1994,35820,5.2,247,0,0,4.8,233,0.4,14
"iccat","TAI",-17.5,-47.5,1993,75708,8,420,0,0,8,420,0,0
"iccat","TAI",-17.5,-47.5,1994,35820,4.9,237,0.1,4,4.8,233,0,0
"iccat","TAI",-12.5,-47.5,1993,75708,8.4,441,0,0,8.4,441,0,0
"iccat","TAI",-7.5,-47.5,1993,151416,21.2,1103,0.5,21,18.6,977,2.1,105
"iccat","KOR",-7.5,-47.5,2023,44410,0.061,0,0,0,0.061,0,0,0
"iccat","JPN",-7.5,-47.5,2024,10610,0,45,0,0,0,45,0,0
"iccat","TAI",-2.5,-47.5,1983,24438,1.3,107,0,0,1.3,107,0,0
"iccat","TAI",-2.5,-47.5,1993,302832,36.8,1921,1.2,52,35.4,1859,0.2,10
"iccat","BRA",-2.5,-47.5,2016,3750,0,66,0,13,0,14,0,39
"iccat","KOR",-2.5,-47.5,2023,14872,0.02,0,0,0,0.02,0,0,0
"iccat","JPN",-2.5,-47.5,2024,34320,0,3,0,0,0,1,0,2
"iccat","KOR",-2.5,-47.5,2024,87516,0.243,0,0,0,0.243,0,0,0
"iccat","JPN",2.5,-47.5,1989,63990,0,1,0,0,0,1,0,0
"iccat","JPN",2.5,-47.5,2024,20680,0,73,0,0,0,73,0,0
"iccat","TAI",7.5,-47.5,1991,1405972,115,3450,91.8,2502,0,0,23.2,948
"iccat","JPN",7.5,-47.5,1993,2963,0,23,0,0,0,23,0,0
"iccat","TAI",7.5,-47.5,1993,151416,17.9,935,0,0,17.9,935,0,0
"iccat","JPN",12.5,-47.5,1972,25671,0,27,0,0,0,27,0,0
"iccat","JPN",12.5,-47.5,1974,2766,0,1,0,0,0,1,0,0
"iccat","JPN",12.5,-47.5,1980,9821,0,2,0,0,0,2,0,0
"iccat","JPN",12.5,-47.5,1999,14631,0,3,0,0,0,3,0,0
"iccat","JPN",17.5,-47.5,1970,61573,0,94,0,0,0,94,0,0
"iccat","JPN",17.5,-47.5,1972,58459,0,6,0,0,0,6,0,0
"iccat","JPN",17.5,-47.5,1974,36317,0,40,0,0,0,40,0,0
"iccat","JPN",17.5,-47.5,1975,16388,0,1,0,0,0,1,0,0
"iccat","JPN",17.5,-47.5,1976,2425,0,10,0,0,0,10,0,0
"iccat","JPN",17.5,-47.5,1979,41138,0,8,0,0,0,8,0,0
"iccat","JPN",17.5,-47.5,1990,121312,0,74,0,44,0,22,0,8
"iccat","TAI",17.5,-47.5,1991,702986,57.5,1725,45.9,1251,0,0,11.6,474
"iccat","JPN",17.5,-47.5,2005,238291,0,46,0,0,0,46,0,0
"iccat","JPN",17.5,-47.5,2008,235761,0,11,0,0,0,11,0,0
"iccat","JPN",17.5,-47.5,2012,9600,0,3,0,0,0,3,0,0
"iotc","JPN",22.5,-47.5,1970,15.504,0,24,NA,NA,NA,24,NA,NA
"iotc","JPN",22.5,-47.5,1973,7.594,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",22.5,-47.5,1974,150.389,0,13,NA,NA,NA,13,NA,NA
"iotc","JPN",22.5,-47.5,1976,4.726,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",22.5,-47.5,1979,42.179,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",22.5,-47.5,1980,118.278,0,22,NA,NA,NA,22,NA,NA
"iotc","JPN",22.5,-47.5,1990,2.925,0,10,NA,NA,NA,10,NA,NA
"iotc","PHL",22.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","KOR",22.5,-47.5,2008,3.1,0.034,0,NA,NA,0.034,NA,NA,NA
"iotc","JPN",27.5,-47.5,1971,2.318,0,4,NA,NA,NA,4,NA,NA
"iotc","JPN",27.5,-47.5,1974,165.961,0,18,NA,NA,NA,18,NA,NA
"iotc","JPN",27.5,-47.5,1980,152.059,0,6,NA,NA,NA,6,NA,NA
"iotc","JPN",27.5,-47.5,1984,403.439,0,80,NA,NA,NA,80,NA,NA
"iotc","KOR",27.5,-47.5,1999,2.901,0.787,0,0.496,NA,NA,NA,0.291,NA
"iotc","JPN",27.5,-47.5,2001,71.622,0,19,NA,NA,NA,19,NA,NA
"iotc","PHL",27.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","JPN",27.5,-47.5,2008,50.522,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",32.5,-47.5,1970,34.92,0,1320,NA,144,NA,1166,NA,10
"iotc","JPN",32.5,-47.5,1974,5.242,0,33,NA,NA,NA,33,NA,NA
"iotc","JPN",32.5,-47.5,1982,2.623,0,6,NA,NA,NA,6,NA,NA
"iotc","JPN",32.5,-47.5,1984,46.537,0,1,NA,NA,NA,1,NA,NA
"iotc","KOR",32.5,-47.5,1999,3.21,0.011,0,NA,NA,0.011,NA,NA,NA
"iotc","PHL",32.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","JPN",32.5,-47.5,2011,12.232,0,1,NA,1,NA,NA,NA,NA
"iotc","JPN",37.5,-47.5,1974,2.621,0,8,NA,NA,NA,8,NA,NA
"iotc","JPN",37.5,-47.5,1976,2.712,0,15,NA,NA,NA,15,NA,NA
"iotc","JPN",37.5,-47.5,1982,2.933,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",37.5,-47.5,1986,3.161,0,9,NA,NA,NA,9,NA,NA
"iotc","PHL",37.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","JPN",42.5,-47.5,1974,2.661,0,6,NA,NA,NA,6,NA,NA
"iotc","JPN",42.5,-47.5,1983,6.051,0,17,NA,NA,NA,17,NA,NA
"iotc","JPN",42.5,-47.5,1986,2.798,0,11,NA,NA,NA,11,NA,NA
"iotc","PHL",42.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","CHN",42.5,-47.5,2024,1.8,1.104,36,0.492,11,NA,NA,0.612,25
"iotc","PHL",47.5,-47.5,2000,NA,0.788,38,0.272,8,0.388,25,0.128,5
"iotc","PHL",47.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","SYC",47.5,-47.5,2003,3.5,1.22298,25,0.85347,17,NA,NA,0.36951,8
"iotc","PHL",52.5,-47.5,2000,NA,0.428,20,0.148,5,0.21,13,0.07,2
"iotc","PHL",52.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","JPN",57.5,-47.5,1969,14.703,0,9,NA,NA,NA,9,NA,NA
"iotc","JPN",57.5,-47.5,1998,3.528,0,25,NA,NA,NA,25,NA,NA
"iotc","PHL",57.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","SYC",57.5,-47.5,2003,3.8,1.99688,35,1.99688,35,NA,NA,NA,NA
"iotc","JPN",57.5,-47.5,2004,9.866,0,10,NA,NA,NA,10,NA,NA
"iotc","JPN",57.5,-47.5,2005,18.216,0,6,NA,NA,NA,6,NA,NA
"iotc","JPN",62.5,-47.5,1969,9.976,0,16,NA,NA,NA,16,NA,NA
"iotc","PHL",62.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","JPN",62.5,-47.5,2004,264.956,0,60,NA,NA,NA,60,NA,NA
"iotc","JPN",62.5,-47.5,2005,322.567,0,165,NA,3,NA,162,NA,NA
"iotc","JPN",67.5,-47.5,1970,8.624,0,7,NA,NA,NA,7,NA,NA
"iotc","JPN",67.5,-47.5,1971,64.356,0,24,NA,NA,NA,24,NA,NA
"iotc","PHL",67.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","JPN",72.5,-47.5,1968,6.804,0,4,NA,NA,NA,4,NA,NA
"iotc","JPN",72.5,-47.5,1969,5.382,0,12,NA,NA,NA,12,NA,NA
"iotc","JPN",72.5,-47.5,1971,25.254,0,13,NA,NA,NA,13,NA,NA
"iotc","PHL",72.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","MYS",72.5,-47.5,2021,2.7,0.95,0,NA,NA,0.95,NA,NA,NA
"iotc","JPN",77.5,-47.5,1968,2.142,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",77.5,-47.5,1970,2.091,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",77.5,-47.5,1971,10.199,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",77.5,-47.5,1977,29.952,0,5,NA,NA,NA,5,NA,NA
"iotc","JPN",77.5,-47.5,1987,5.76,0,3,NA,NA,NA,3,NA,NA
"iotc","PHL",77.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","JPN",82.5,-47.5,1968,34.713,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",82.5,-47.5,1971,156.351,0,13,NA,NA,NA,13,NA,NA
"iotc","JPN",82.5,-47.5,1977,97.297,0,29,NA,NA,NA,29,NA,NA
"iotc","PHL",82.5,-47.5,2003,NA,0.516,0,0.516,NA,NA,NA,NA,NA
"iotc","JPN",87.5,-47.5,1967,68.651,0,17,NA,NA,NA,17,NA,NA
"iotc","JPN",87.5,-47.5,1977,19.344,0,4,NA,NA,NA,4,NA,NA
"iotc","PHL",87.5,-47.5,2003,NA,0.31,0,0.31,NA,NA,NA,NA,NA
"iotc","JPN",92.5,-47.5,1967,41.239,0,48,NA,NA,NA,48,NA,NA
"iotc","JPN",97.5,-47.5,1967,576.121,0,14,NA,NA,NA,14,NA,NA
"iotc","JPN",97.5,-47.5,1969,6.264,0,62,NA,2,NA,60,NA,NA
"iotc","JPN",102.5,-47.5,1967,151.38,0,8,NA,NA,NA,8,NA,NA
"iotc","JPN",102.5,-47.5,1969,4.234,0,33,NA,7,NA,26,NA,NA
"iotc","JPN",102.5,-47.5,1970,10.338,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",102.5,-47.5,1971,5.551,0,12,NA,NA,NA,12,NA,NA
"iotc","JPN",102.5,-47.5,1974,79.838,0,13,NA,NA,NA,13,NA,NA
"iotc","JPN",102.5,-47.5,1975,6.868,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",102.5,-47.5,1977,53.361,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",102.5,-47.5,1978,45.32,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",102.5,-47.5,1981,168.626,0,5,NA,NA,NA,5,NA,NA
"iotc","JPN",102.5,-47.5,1987,11.2,0,4,NA,NA,NA,4,NA,NA
"iotc","JPN",102.5,-47.5,1988,110.494,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",107.5,-47.5,1985,119.422,0,2,NA,2,NA,NA,NA,NA
"iotc","JPN",117.5,-47.5,1984,485.396,0,21,NA,NA,NA,21,NA,NA
"iotc","JPN",117.5,-47.5,1985,153.124,0,13,NA,7,NA,6,NA,NA
"iotc","JPN",122.5,-47.5,1971,124.459,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",122.5,-47.5,1978,830.259,0,376,NA,NA,NA,376,NA,NA
"iotc","JPN",122.5,-47.5,1980,681.496,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",122.5,-47.5,1981,2.4,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",122.5,-47.5,1984,1747.081,0,28,NA,NA,NA,28,NA,NA
"iotc","JPN",122.5,-47.5,1985,1890.789,0,95,NA,41,NA,54,NA,NA
"iotc","JPN",127.5,-47.5,1967,115.324,0,38,NA,NA,NA,38,NA,NA
"iotc","JPN",127.5,-47.5,1969,43.297,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",127.5,-47.5,1971,1367.543,0,8,NA,2,NA,6,NA,NA
"iotc","JPN",127.5,-47.5,1974,1109.67,0,23,NA,NA,NA,23,NA,NA
"iotc","JPN",127.5,-47.5,1975,609.332,0,9,NA,NA,NA,9,NA,NA
"iotc","JPN",127.5,-47.5,1977,424.364,0,25,NA,NA,NA,25,NA,NA
"iotc","JPN",127.5,-47.5,1984,550.115,0,14,NA,NA,NA,14,NA,NA
"iotc","JPN",127.5,-47.5,1985,234.235,0,25,NA,NA,NA,25,NA,NA
"iotc","JPN",127.5,-47.5,1986,51.254,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",132.5,-47.5,1968,2092.379,0,11,NA,NA,NA,11,NA,NA
"iotc","JPN",132.5,-47.5,1969,177.451,0,18,NA,NA,NA,18,NA,NA
"iotc","JPN",132.5,-47.5,1971,2081.603,0,44,NA,NA,NA,44,NA,NA
