"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iotc","TWN",87.5,-22.5,2000,454.463,72.456,4885,12.039,336,57.177,4417,3.24,132
"iotc","JPN",87.5,-22.5,2001,442.403,0,2928,NA,1438,NA,630,NA,860
"iotc","TWN",87.5,-22.5,2001,564.63,134.478,6816,17.368,455,99.506,5826,17.604,535
"iotc","JPN",87.5,-22.5,2002,289.033,0,3062,NA,1715,NA,1048,NA,299
"iotc","TWN",87.5,-22.5,2002,186.846,46.759,2247,4.69,149,35.893,1936,6.176,162
"iotc","JPN",87.5,-22.5,2003,4.046,0,35,NA,21,NA,5,NA,9
"iotc","MUS",87.5,-22.5,2003,5.999,0.433,0,0.128,NA,0.075,NA,0.23,NA
"iotc","PHL",87.5,-22.5,2003,NA,0.388,0,0.388,NA,NA,NA,NA,NA
"iotc","TWN",87.5,-22.5,2003,325.748,202.186,6633,86.491,2040,60.698,2816,54.997,1777
"iotc","JPN",87.5,-22.5,2004,63.794,0,1029,NA,92,NA,932,NA,5
"iotc","MUS",87.5,-22.5,2004,11.716,1.625,81,0.96,53,0.195,13,0.47,15
"iotc","TWN",87.5,-22.5,2004,93.92,25.273,934,10.505,271,11.791,571,2.977,92
"iotc","TWN",87.5,-22.5,2005,127.002,59.055,2349,2.841,76,52.929,2178,3.285,95
"iotc","JPN",87.5,-22.5,2007,10.07,0,52,NA,NA,NA,48,NA,4
"iotc","MUS",87.5,-22.5,2008,18.629,0.485,0,0.395,NA,0.05,NA,0.04,NA
"iotc","TWN",87.5,-22.5,2008,13.751,0.767,35,0.536,16,0.231,19,NA,NA
"iotc","GBR",87.5,-22.5,2009,3.3,1.2006,0,NA,NA,0.0871999999999995,NA,1.1134,NA
"iotc","CHN",87.5,-22.5,2010,561.1,196.21872,10151,35.27104,901,125.876,8365,35.07168,885
"iotc","CHN",87.5,-22.5,2011,81,46.531,4661,0.775,25,45,4600,0.756,36
"iotc","GBR",87.5,-22.5,2011,2.2,2.4334,0,NA,NA,0.1506,NA,2.2828,NA
"iotc","PRT",87.5,-22.5,2011,1.1,0.1,0,NA,NA,NA,NA,0.1,NA
"iotc","CHN",87.5,-22.5,2012,490.8,700.76,43857,NA,NA,516.525,38544,184.235,5313
"iotc","CHN",87.5,-22.5,2013,415.8,374.35,24024,NA,NA,285.135,21256,89.215,2768
"iotc","TWN",87.5,-22.5,2013,26.234,3.02,143,0.56,18,2.14,114,0.32,11
"iotc","GBR",87.5,-22.5,2014,1.1,1.5541,0,NA,NA,NA,NA,1.5541,NA
"iotc","PRT",87.5,-22.5,2014,0.9,0.195,0,NA,NA,NA,NA,0.195,NA
"iotc","CHN",87.5,-22.5,2015,7.764,3.855,266,0.78,22,1.948,210,1.127,34
"iotc","GBR",87.5,-22.5,2015,2.2,0.0129,0,NA,NA,NA,NA,0.0129,NA
"iotc","PRT",87.5,-22.5,2015,34.55,3.687,0,2.029,NA,0.22,NA,1.438,NA
"iotc","TWN",87.5,-22.5,2015,89.276,16.804,823,0.223,5,16.504,816,0.077,2
"iotc","GBR",87.5,-22.5,2016,4.4,0.7,0,NA,NA,NA,NA,0.7,NA
"iotc","PRT",87.5,-22.5,2016,20,1.815,0,0.832,NA,0.153,NA,0.83,NA
"iotc","CHN",87.5,-22.5,2017,58.65,29.4,1373,1,36,28,1323,0.4,14
"iotc","TWN",87.5,-22.5,2019,16.169,4.928,221,0.764,29,3.994,187,0.17,5
"iotc","CHN",87.5,-22.5,2020,447.029,249.536,10415,30.234,1225,195.91,8337,23.392,853
"iotc","MYS",87.5,-22.5,2020,56.7,20.276,0,0.345,NA,18.643,NA,1.288,NA
"iotc","TWN",87.5,-22.5,2020,49.507,5.648,260,0.683,32,4.863,225,0.102,3
"iotc","CHN",87.5,-22.5,2021,205.12,77.209,3145,3.673,116,71.684,2940,1.852,89
"iotc","MYS",87.5,-22.5,2021,16.2,2.974,0,0.21,NA,2.639,NA,0.125,NA
"iotc","TWN",87.5,-22.5,2021,132.123,31.789,1420,3.014,110,28.175,1279,0.6,31
"iotc","CHN",87.5,-22.5,2022,226.629,76.114,3191,2.583,76,72.759,3061,0.772,54
"iotc","TWN",87.5,-22.5,2022,212.038,53.145,2268,1.656,52,50.253,2151,1.236,65
"iotc","CHN",87.5,-22.5,2023,55.38,30.006,1599,13.322,386,15.96,1184,0.724,29
"iotc","IDN",87.5,-22.5,2023,11.1,0.695,0,0.04,NA,0.595,NA,0.06,NA
"iotc","JPN",87.5,-22.5,2023,22.75,0,458,NA,97,NA,292,NA,69
"iotc","TWN",87.5,-22.5,2023,119.313,34.225,1404,1.398,61,31.901,1307,0.926,36
"iotc","CHN",87.5,-22.5,2024,15.2,4.681,190,NA,NA,4.471,170,0.21,20
"iotc","ESP",87.5,-22.5,2024,24.222,0.39,0,0.09,NA,NA,NA,0.3,NA
"iotc","IDN",87.5,-22.5,2024,39.35,8.87,0,0.125,NA,7.795,NA,0.95,NA
"iotc","JPN",87.5,-22.5,2024,195.931,0,3861,NA,1296,NA,2289,NA,276
"iotc","TWN",87.5,-22.5,2024,16.956,4.204,187,0.428,12,3.663,172,0.113,3
"iotc","TWN",87.5,-22.5,2025,42.339,19.923,682,6.928,152,12.45,504,0.545,26
"iotc","JPN",92.5,-22.5,1954,8.036,0,277,NA,4,NA,167,NA,106
"iotc","JPN",92.5,-22.5,1965,2.48,0,45,NA,2,NA,36,NA,7
"iotc","JPN",92.5,-22.5,1966,12.538,0,276,NA,14,NA,226,NA,36
"iotc","JPN",92.5,-22.5,1967,5.117,0,77,NA,1,NA,57,NA,19
"iotc","JPN",92.5,-22.5,1968,5.11,0,85,NA,1,NA,43,NA,41
"iotc","TWN",92.5,-22.5,1968,155.4,56.92016,12942,5.36152,124,26.15,1111,25.40864,11707
"iotc","JPN",92.5,-22.5,1970,19.992,0,485,NA,19,NA,340,NA,126
"iotc","TWN",92.5,-22.5,1971,430.8,284.3669552,11304,12.4186352,235,250.196,10461,21.75232,608
"iotc","TWN",92.5,-22.5,1973,190,86.4336,4295,3.4278,95,63.222,3724,19.7838,476
"iotc","JPN",92.5,-22.5,1974,13.76,0,451,NA,105,NA,346,NA,NA
"iotc","TWN",92.5,-22.5,1974,516.2,240.9476,12122,6.92984,195,227.683,11665,6.33476,262
"iotc","TWN",92.5,-22.5,1975,100.3,18.32984,983,0.43384,13,17.896,970,NA,NA
"iotc","TWN",92.5,-22.5,1976,44.3,6.54712,313,1.17392,34,4.19,252,1.1832,27
"iotc","TWN",92.5,-22.5,1977,73.8,21.20032,1278,1.02544,34,17.051,1145,3.12388,99
"iotc","TWN",92.5,-22.5,1978,8,2.076,86,0.1392,4,1.67,77,0.2668,5
"iotc","KOR",92.5,-22.5,1979,2.7,0,25,NA,21,NA,NA,NA,4
"iotc","TWN",92.5,-22.5,1979,47.4,13.6336,792,1.218,35,11.36,724,1.0556,33
"iotc","TWN",92.5,-22.5,1980,41.1,9.1972,482,0.5336,16,8.13,454,0.5336,12
"iotc","JPN",92.5,-22.5,1981,8.25,0,30,NA,3,NA,13,NA,14
"iotc","TWN",92.5,-22.5,1981,41.6,11.7604,641,0.8468,27,10.67,607,0.2436,7
"iotc","TWN",92.5,-22.5,1982,20.6,10.6108,580,0.3596,10,10.17,568,0.0812,2
"iotc","TWN",92.5,-22.5,1983,364,136.0784,9305,16.4488,494,113.76,8660,5.8696,151
"iotc","TWN",92.5,-22.5,1984,23,2.1824,107,0.1276,4,2.02,102,0.0348,1
"iotc","TWN",92.5,-22.5,1985,2.5,0.168,9,0.058,2,0.11,7,NA,NA
"iotc","KOR",92.5,-22.5,1986,5.763,0,32,NA,1,NA,27,NA,4
"iotc","TWN",92.5,-22.5,1986,15.4,2.15144,97,0.35844,12,1.793,85,NA,NA
"iotc","TWN",92.5,-22.5,1987,124.6,21.84104,1066,0.58,18,20.137,1009,1.12404,39
"iotc","TWN",92.5,-22.5,1988,25.5,5.61152,273,1.18552,42,4.426,231,NA,NA
"iotc","TWN",92.5,-22.5,1990,46.512,8.93976,367,1.11592,30,7.709,334,0.11484,3
"iotc","JPN",92.5,-22.5,1991,198.5,0,1323,NA,799,NA,149,NA,375
"iotc","JPN",92.5,-22.5,1992,82.529,0,293,NA,114,NA,171,NA,8
"iotc","TWN",92.5,-22.5,1992,5326.068,1840.68868,176701,20.49024,973,1802.005,174775,18.19344,953
"iotc","JPN",92.5,-22.5,1993,19.447,0,82,NA,41,NA,5,NA,36
"iotc","TWN",92.5,-22.5,1993,207.47,72.95372,2975,9.04104,149,56.665,2703,7.24768,123
"iotc","JPN",92.5,-22.5,1994,175.726,0,1272,NA,838,NA,226,NA,208
"iotc","JPN",92.5,-22.5,1995,801.676,0,5122,NA,3975,NA,633,NA,514
"iotc","TWN",92.5,-22.5,1995,224.872,62.74772,2845,5.86612,135,51.099,2564,5.7826,146
"iotc","JPN",92.5,-22.5,1996,325.893,0,3453,NA,1341,NA,1769,NA,343
"iotc","TWN",92.5,-22.5,1996,382.649,174.793,11301,5.588,165,139.678,10128,29.527,1008
"iotc","JPN",92.5,-22.5,1997,486.969,0,4101,NA,2103,NA,1722,NA,276
"iotc","JPN",92.5,-22.5,1998,533.164,0,4768,NA,2593,NA,1644,NA,531
"iotc","JPN",92.5,-22.5,1999,558.656,0,5136,NA,3161,NA,1001,NA,974
"iotc","PHL",92.5,-22.5,1999,NA,2.81,83,1.776,52,0.026,1,1.008,30
"iotc","TWN",92.5,-22.5,1999,24.096,4.095,272,0.299,10,3.401,241,0.395,21
"iotc","JPN",92.5,-22.5,2000,274.739,0,2978,NA,2099,NA,597,NA,282
"iotc","TWN",92.5,-22.5,2000,24.206,4.43,212,NA,NA,4.054,203,0.376,9
"iotc","JPN",92.5,-22.5,2001,1276.25,0,8636,NA,4821,NA,1699,NA,2116
"iotc","TWN",92.5,-22.5,2001,254.252,40.141,2067,4.315,115,32.483,1864,3.343,88
"iotc","JPN",92.5,-22.5,2002,520.976,0,5039,NA,1964,NA,2243,NA,832
"iotc","TWN",92.5,-22.5,2002,491.648,151.892,7087,15.755,436,121.94,6278,14.197,373
"iotc","JPN",92.5,-22.5,2003,6.348,0,16,NA,16,NA,NA,NA,NA
"iotc","SYC",92.5,-22.5,2003,49.941,9.08079,426,0.08175,3,8.8726,420,0.12644,3
"iotc","TWN",92.5,-22.5,2003,209.764,66.411,2469,28.186,867,31.523,1383,6.702,219
"iotc","JPN",92.5,-22.5,2004,39.378,0,251,NA,43,NA,191,NA,17
"iotc","TWN",92.5,-22.5,2004,91.323,28.309,960,14.304,401,7.242,349,6.763,210
"iotc","JPN",92.5,-22.5,2005,42.835,0,270,NA,74,NA,190,NA,6
"iotc","SEN",92.5,-22.5,2005,NA,0.043,0,NA,NA,NA,NA,0.043,NA
"iotc","TWN",92.5,-22.5,2005,6.964,1.43,58,0.319,8,0.948,45,0.163,5
"iotc","JPN",92.5,-22.5,2006,23.906,0,190,NA,123,NA,52,NA,15
"iotc","JPN",92.5,-22.5,2007,4.055,0,5,NA,NA,NA,5,NA,NA
"iotc","TWN",92.5,-22.5,2007,24.421,2.296,142,0.26,8,1.679,122,0.357,12
"iotc","TWN",92.5,-22.5,2008,17.1,0.62,22,NA,NA,NA,NA,0.62,22
"iotc","GBR",92.5,-22.5,2009,1.1,0.0474,0,NA,NA,NA,NA,0.0474,NA
"iotc","TWN",92.5,-22.5,2009,2.904,0.132,6,NA,NA,0.132,6,NA,NA
"iotc","GBR",92.5,-22.5,2010,1.1,0.2977,0,NA,NA,NA,NA,0.2977,NA
"iotc","JPN",92.5,-22.5,2010,3.64,0,37,NA,NA,NA,37,NA,NA
"iotc","GBR",92.5,-22.5,2011,3.3,2.8854,0,NA,NA,0.1095,NA,2.7759,NA
"iotc","PRT",92.5,-22.5,2011,16.5,0.7,0,NA,NA,NA,NA,0.7,NA
"iotc","CHN",92.5,-22.5,2012,56,71.46,4848,NA,NA,61.915,4583,9.545,265
"iotc","TWN",92.5,-22.5,2012,27.9,0.96,32,0.27,9,NA,NA,0.69,23
"iotc","TWN",92.5,-22.5,2013,22.198,2.69,128,0.34,7,2.06,112,0.29,9
"iotc","GBR",92.5,-22.5,2014,1.1,2.0201,0,NA,NA,0.2784,NA,1.7417,NA
"iotc","PRT",92.5,-22.5,2014,60.94,19.83,0,15.002,NA,0.625,NA,4.203,NA
"iotc","CHN",92.5,-22.5,2015,3.106,1.542,107,0.312,9,0.779,84,0.451,14
"iotc","GBR",92.5,-22.5,2015,8.8,0.3085,0,NA,NA,0.0327,NA,0.2758,NA
"iotc","PRT",92.5,-22.5,2015,30.75,7.995,0,1.161,NA,0.81,NA,6.024,NA
"iotc","GBR",92.5,-22.5,2016,1.1,0.1,0,NA,NA,NA,NA,0.1,NA
"iotc","PRT",92.5,-22.5,2016,43.7,2.989,0,1.438,NA,0.046,NA,1.505,NA
"iotc","PRT",92.5,-22.5,2017,3.6,0.805,0,NA,NA,0.046,NA,0.759,NA
"iotc","JPN",92.5,-22.5,2018,3,0,35,NA,NA,NA,34,NA,1
"iotc","IDN",92.5,-22.5,2019,1.8,0.07,0,NA,NA,0.07,NA,NA,NA
"iotc","TWN",92.5,-22.5,2019,6.872,0.809,41,0.168,11,0.641,30,NA,NA
"iotc","CHN",92.5,-22.5,2020,36.808,13.927,572,1.441,58,11.809,496,0.677,18
"iotc","IDN",92.5,-22.5,2020,21.5,7.276,0,1.173,NA,6.003,NA,0.1,NA
"iotc","TWN",92.5,-22.5,2020,22.316,6.224,287,0.539,22,5.606,263,0.079,2
"iotc","IDN",92.5,-22.5,2021,84,8.905,0,0.13,NA,8.355,NA,0.42,NA
"iotc","TWN",92.5,-22.5,2021,31.959,9.616,415,0.946,25,8.3,371,0.37,19
"iotc","CHN",92.5,-22.5,2022,20.24,5.483,220,0.159,3,5.311,216,0.013,1
"iotc","IDN",92.5,-22.5,2022,1.8,0.053,0,NA,NA,0.023,NA,0.03,NA
"iotc","JPN",92.5,-22.5,2022,6.16,0,114,NA,59,NA,46,NA,9
"iotc","TWN",92.5,-22.5,2022,83.862,13.611,571,0.61,17,12.582,527,0.419,27
"iotc","IDN",92.5,-22.5,2023,21.4,2.601,0,0.045,NA,2.376,NA,0.18,NA
"iotc","JPN",92.5,-22.5,2023,39.45,0,886,NA,234,NA,602,NA,50
"iotc","TWN",92.5,-22.5,2023,3.6,0.551,23,0.035,1,0.516,22,NA,NA
"iotc","CHN",92.5,-22.5,2024,13.2,3.883,180,1.324,76,2.063,94,0.496,10
"iotc","ESP",92.5,-22.5,2024,28.512,0.17,0,0.05,NA,NA,NA,0.12,NA
"iotc","IDN",92.5,-22.5,2024,921.3,160.111,0,9.366,NA,113.808,NA,36.937,NA
"iotc","JPN",92.5,-22.5,2024,50.5,0,748,NA,218,NA,490,NA,40
"iotc","JPN",97.5,-22.5,1958,30.492,0,1954,NA,64,NA,1562,NA,328
"iotc","JPN",97.5,-22.5,1959,15.082,0,168,NA,47,NA,65,NA,56
"iotc","JPN",97.5,-22.5,1960,15.657,0,521,NA,14,NA,453,NA,54
"iotc","JPN",97.5,-22.5,1961,26.213,0,600,NA,28,NA,464,NA,108
"iotc","JPN",97.5,-22.5,1962,91.027,0,2280,NA,109,NA,2065,NA,106
"iotc","JPN",97.5,-22.5,1963,662.374,0,8985,NA,502,NA,8101,NA,382
"iotc","JPN",97.5,-22.5,1964,106.743,0,2273,NA,160,NA,1646,NA,467
"iotc","JPN",97.5,-22.5,1965,191.085,0,4086,NA,260,NA,3248,NA,578
"iotc","JPN",97.5,-22.5,1966,546.137,0,10127,NA,437,NA,7739,NA,1951
"iotc","JPN",97.5,-22.5,1967,40.541,0,901,NA,41,NA,757,NA,103
"iotc","JPN",97.5,-22.5,1968,92.725,0,2260,NA,80,NA,1693,NA,487
"iotc","JPN",97.5,-22.5,1969,19.72,0,423,NA,15,NA,319,NA,89
"iotc","JPN",97.5,-22.5,1970,60.519,0,1420,NA,73,NA,954,NA,393
"iotc","TWN",97.5,-22.5,1970,270.6,158.19344,7021,11.40048,247,134.896,6481,11.89696,293
"iotc","JPN",97.5,-22.5,1971,15.674,0,270,NA,19,NA,123,NA,128
"iotc","TWN",97.5,-22.5,1972,104.2,64.4414,2749,3.23176,116,45.139,2263,16.07064,370
"iotc","TWN",97.5,-22.5,1973,419.2,236.70492,11469,10.95852,292,178.923,9995,46.8234,1182
"iotc","TWN",97.5,-22.5,1974,570.5,293.39348,15572,6.48672,187,275.961,15083,10.94576,302
"iotc","TWN",97.5,-22.5,1975,25.4,13.74476,592,NA,NA,13.5,588,0.24476,4
"iotc","TWN",97.5,-22.5,1976,53.7,26.756,1619,NA,NA,26.756,1619,NA,NA
"iotc","TWN",97.5,-22.5,1977,49.4,11.6454,786,1.04284,32,8.409,689,2.19356,65
"iotc","TWN",97.5,-22.5,1978,24.2,4.2536,190,0.2204,4,3.43,171,0.6032,15
"iotc","TWN",97.5,-22.5,1979,260.6,110.2192,5021,1.9836,58,101.09,4752,7.1456,211
"iotc","TWN",97.5,-22.5,1980,240.6,54.3772,2835,1.4268,49,49.25,2673,3.7004,113
"iotc","TWN",97.5,-22.5,1981,39.8,11.9684,666,0.1856,5,11.4,655,0.3828,6
"iotc","TWN",97.5,-22.5,1982,16.5,3.524,205,0.2784,9,3.06,190,0.1856,6
"iotc","TWN",97.5,-22.5,1983,77,9.5948,386,NA,NA,7.24,312,2.3548,74
"iotc","TWN",97.5,-22.5,1984,194,43.0388,2091,1.1136,31,41.38,2041,0.5452,19
"iotc","TWN",97.5,-22.5,1985,22.7,5.0112,225,0.2436,6,4.64,216,0.1276,3
"iotc","TWN",97.5,-22.5,1986,6.4,0.91416,38,0.17168,4,0.681,31,0.06148,3
"iotc","TWN",97.5,-22.5,1987,161.6,51.343,2296,NA,NA,51.343,2296,NA,NA
"iotc","TWN",97.5,-22.5,1988,103.4,18.22944,884,0.10672,2,17.871,877,0.25172,5
"iotc","JPN",97.5,-22.5,1990,6.836,0,69,NA,18,NA,42,NA,9
"iotc","TWN",97.5,-22.5,1990,81.34,25.48648,990,1.8096,46,22.815,929,0.86188,15
"iotc","JPN",97.5,-22.5,1991,118.162,0,743,NA,491,NA,126,NA,126
"iotc","TWN",97.5,-22.5,1991,433.37,104.35136,4538,36.1978,628,66.975,3881,1.17856,29
"iotc","JPN",97.5,-22.5,1992,136.309,0,460,NA,357,NA,80,NA,23
"iotc","JPN",97.5,-22.5,1993,8.1,0,31,NA,24,NA,6,NA,1
"iotc","TWN",97.5,-22.5,1993,207.47,68.04276,2814,5.47752,129,58.286,2607,4.27924,78
"iotc","JPN",97.5,-22.5,1994,183.102,0,1146,NA,1060,NA,42,NA,44
"iotc","JPN",97.5,-22.5,1995,116.131,0,1026,NA,514,NA,360,NA,152
"iotc","TWN",97.5,-22.5,1995,96.154,0.3364,9,NA,NA,NA,NA,0.3364,9
"iotc","JPN",97.5,-22.5,1996,83.68,0,142,NA,114,NA,20,NA,8
"iotc","JPN",97.5,-22.5,1997,28.143,0,139,NA,84,NA,36,NA,19
"iotc","JPN",97.5,-22.5,1998,95.944,0,303,NA,179,NA,34,NA,90
"iotc","JPN",97.5,-22.5,1999,47.037,0,202,NA,153,NA,34,NA,15
"iotc","JPN",97.5,-22.5,2000,16.75,0,37,NA,25,NA,11,NA,1
"iotc","TWN",97.5,-22.5,2000,18.76,1.233,45,NA,NA,0.433,21,0.8,24
"iotc","JPN",97.5,-22.5,2001,23.113,0,141,NA,38,NA,24,NA,79
"iotc","JPN",97.5,-22.5,2002,28.11,0,48,NA,NA,NA,48,NA,NA
"iotc","TWN",97.5,-22.5,2002,67.755,22.633,1301,0.164,4,21.482,1274,0.987,23
"iotc","SYC",97.5,-22.5,2003,40.502,6.29803,304,NA,NA,6.2359,303,0.06213,1
"iotc","TWN",97.5,-22.5,2003,72.87,18.679,564,13.169,341,3.721,175,1.789,48
"iotc","MUS",97.5,-22.5,2004,4.174,0.439,12,0.3,6,0.059,4,0.08,2
"iotc","TWN",97.5,-22.5,2004,24.604,5.822,208,3.809,121,1.274,66,0.739,21
"iotc","SEN",97.5,-22.5,2005,NA,0.107,0,NA,NA,NA,NA,0.107,NA
"iotc","TWN",97.5,-22.5,2008,3.8,0.093,5,NA,NA,NA,NA,0.093,5
"iotc","JPN",97.5,-22.5,2009,10.914,0,55,NA,10,NA,45,NA,NA
"iotc","KOR",97.5,-22.5,2009,13.97,0,148,NA,49,NA,97,NA,2
"iotc","TWN",97.5,-22.5,2009,12.733,1.012,86,NA,NA,1.012,86,NA,NA
"iotc","GBR",97.5,-22.5,2010,4.4,7.459,0,NA,NA,0.747499999999999,NA,6.7115,NA
"iotc","GBR",97.5,-22.5,2011,6.6,10.055,0,NA,NA,0.5063,NA,9.5487,NA
"iotc","PRT",97.5,-22.5,2011,52.8,3,0,NA,NA,0.3,NA,2.7,NA
"iotc","TWN",97.5,-22.5,2012,16.975,1.37,78,0.17,6,1.03,66,0.17,6
"iotc","TWN",97.5,-22.5,2013,4.212,0.65,33,0.12,3,0.4,26,0.13,4
"iotc","GBR",97.5,-22.5,2014,1.1,0.1803,0,NA,NA,NA,NA,0.1803,NA
"iotc","PRT",97.5,-22.5,2014,96.113,26.022,0,16.444,NA,1.326,NA,8.252,NA
"iotc","GBR",97.5,-22.5,2015,33,3.1724,0,NA,NA,0.133,NA,3.0394,NA
"iotc","JPN",97.5,-22.5,2015,27.58,0,540,NA,216,NA,317,NA,7
"iotc","PRT",97.5,-22.5,2015,97.7,11.749,0,4.687,NA,1.024,NA,6.038,NA
"iotc","PRT",97.5,-22.5,2016,22.3,1.08,0,0.423,NA,0.061,NA,0.596,NA
"iotc","TWN",97.5,-22.5,2016,3.45,0.039,2,NA,NA,0.039,2,NA,NA
"iotc","JPN",97.5,-22.5,2017,3.3,0,7,NA,NA,NA,7,NA,NA
"iotc","PRT",97.5,-22.5,2017,21.6,4.649,0,NA,NA,0.04,NA,4.609,NA
"iotc","TWN",97.5,-22.5,2018,60.3,11.79,538,0.991,30,10.057,480,0.742,28
"iotc","IDN",97.5,-22.5,2019,15,3.375,0,NA,NA,2.523,NA,0.852,NA
"iotc","JPN",97.5,-22.5,2019,16.5,0,109,NA,23,NA,75,NA,11
"iotc","TWN",97.5,-22.5,2019,76.803,14.473,701,1.972,125,12.419,570,0.082,6
"iotc","IDN",97.5,-22.5,2020,191.22,28.206,0,2.595,NA,19.762,NA,5.849,NA
"iotc","JPN",97.5,-22.5,2020,3.2,0,53,NA,38,NA,13,NA,2
"iotc","TWN",97.5,-22.5,2020,5.372,0.814,36,0.308,14,0.423,20,0.083,2
"iotc","IDN",97.5,-22.5,2021,261.11,50.246,0,1.592,NA,37.117,NA,11.537,NA
"iotc","TWN",97.5,-22.5,2021,53.945,16.027,730,1.215,44,14.774,684,0.038,2
"iotc","IDN",97.5,-22.5,2022,38.2,6.801,0,1.29,NA,2.522,NA,2.989,NA
"iotc","JPN",97.5,-22.5,2022,173.477,0,2942,NA,1341,NA,1520,NA,81
"iotc","TWN",97.5,-22.5,2022,23.155,5.434,242,0.074,4,5.328,236,0.032,2
"iotc","IDN",97.5,-22.5,2023,685.292,94.751,0,1.808,NA,76.892,NA,16.051,NA
"iotc","JPN",97.5,-22.5,2023,64.656,0,1347,NA,1013,NA,274,NA,60
"iotc","TWN",97.5,-22.5,2023,9.864,2.068,88,0.041,1,2.027,87,NA,NA
"iotc","IDN",97.5,-22.5,2024,1164.05,127.913,0,13.589,NA,85.12,NA,29.204,NA
"iotc","JPN",102.5,-22.5,1954,1.7,0,33,NA,1,NA,21,NA,11
"iotc","JPN",102.5,-22.5,1958,502.926,0,24523,NA,1315,NA,17165,NA,6043
"iotc","JPN",102.5,-22.5,1959,388.246,0,9444,NA,520,NA,7447,NA,1477
"iotc","JPN",102.5,-22.5,1960,1004.618,0,14208,NA,806,NA,11975,NA,1427
"iotc","JPN",102.5,-22.5,1961,2464.349,0,21969,NA,1585,NA,18017,NA,2367
"iotc","JPN",102.5,-22.5,1962,867.73,0,13681,NA,1491,NA,9630,NA,2560
"iotc","JPN",102.5,-22.5,1963,1234.838,0,15136,NA,901,NA,12838,NA,1397
"iotc","JPN",102.5,-22.5,1964,684.211,0,12712,NA,879,NA,9759,NA,2074
"iotc","JPN",102.5,-22.5,1965,821.304,0,10732,NA,720,NA,9234,NA,778
"iotc","JPN",102.5,-22.5,1966,853.43,0,10602,NA,803,NA,7774,NA,2025
"iotc","JPN",102.5,-22.5,1967,155.81,0,2710,NA,115,NA,2355,NA,240
"iotc","JPN",102.5,-22.5,1968,121.758,0,2909,NA,79,NA,2284,NA,546
"iotc","JPN",102.5,-22.5,1969,30.247,0,559,NA,12,NA,496,NA,51
"iotc","JPN",102.5,-22.5,1970,147.274,0,3934,NA,155,NA,2951,NA,828
"iotc","TWN",102.5,-22.5,1970,571.5,327.33748,14676,17.04736,430,270.03,13234,40.26012,1012
"iotc","JPN",102.5,-22.5,1971,126.628,0,1638,NA,92,NA,887,NA,659
"iotc","TWN",102.5,-22.5,1971,6.4,0.763,42,NA,NA,0.647,39,0.116,3
"iotc","JPN",102.5,-22.5,1972,2.832,0,38,NA,5,NA,28,NA,5
"iotc","TWN",102.5,-22.5,1972,17.8,6.11432,232,NA,NA,3.444,180,2.67032,52
"iotc","JPN",102.5,-22.5,1973,6.42,0,25,NA,1,NA,10,NA,14
"iotc","TWN",102.5,-22.5,1973,310.6,146.82032,5853,13.29128,305,105.841,5022,27.68804,526
"iotc","TWN",102.5,-22.5,1974,545.3,280.22692,16381,15.88388,462,256.056,15691,8.28704,228
"iotc","TWN",102.5,-22.5,1975,245.3,78.21152,4266,0.5394,10,77.403,4251,0.26912,5
"iotc","TWN",102.5,-22.5,1976,411.1,157.38832,7792,2.15992,87,153.123,7617,2.1054,88
"iotc","TWN",102.5,-22.5,1977,144.7,51.97932,3802,1.95576,71,49.251,3713,0.77256,18
"iotc","TWN",102.5,-22.5,1978,382.1,115.862,5569,11.9016,256,99.97,5224,3.9904,89
"iotc","TWN",102.5,-22.5,1979,222.2,87.912,4405,5.6608,149,77.53,4112,4.7212,144
"iotc","KOR",102.5,-22.5,1980,27.562,0,371,NA,310,NA,25,NA,36
"iotc","TWN",102.5,-22.5,1980,248.1,87.346,4436,4.118,127,78.53,4153,4.698,156
"iotc","JPN",102.5,-22.5,1981,8.035,0,30,NA,12,NA,15,NA,3
"iotc","TWN",102.5,-22.5,1981,91.5,26.2932,1111,1.2876,42,24.82,1062,0.1856,7
"iotc","TWN",102.5,-22.5,1982,114,44.1664,2352,1.1136,31,42.38,2301,0.6728,20
"iotc","JPN",102.5,-22.5,1983,17.998,0,249,NA,135,NA,111,NA,3
"iotc","TWN",102.5,-22.5,1983,251.4,31.99,1880,2.2852,51,28.51,1792,1.1948,37
"iotc","TWN",102.5,-22.5,1984,274.6,32.986,2562,0.6612,13,31.42,2524,0.9048,25
"iotc","TWN",102.5,-22.5,1986,227.9,98.90664,4550,3.48464,84,94.204,4427,1.218,39
"iotc","TWN",102.5,-22.5,1987,326.4,118.87876,5758,0.06612,1,118.663,5753,0.14964,4
"iotc","TWN",102.5,-22.5,1988,63.1,11.9378,633,0.90248,26,10.946,604,0.08932,3
"iotc","JPN",102.5,-22.5,1989,3.257,0,28,NA,NA,NA,11,NA,17
"iotc","JPN",102.5,-22.5,1991,20.711,0,115,NA,45,NA,12,NA,58
"iotc","TWN",102.5,-22.5,1991,754.385,355.63516,19187,28.37128,846,319.993,18210,7.27088,131
"iotc","JPN",102.5,-22.5,1992,115.133,0,339,NA,247,NA,77,NA,15
