"rfmo","lon","lat","year","effort_set","effort_day","catch_tot","catch_skj","catch_alb","catch_bet","catch_yft"
"iotc",130.5,-46.5,2023,NA,3,14,14,NA,NA,NA
"iotc",79.5,-44.5,2016,NA,NA,0.5,0.5,NA,NA,NA
"iotc",147.5,-43.5,1999,NA,NA,223.193,223.193,NA,NA,NA
"iotc",148.5,-43.5,1999,NA,NA,19,19,NA,NA,NA
"iotc",148.5,-42.5,1999,NA,NA,124,124,NA,NA,NA
"iotc",148.5,-41.5,1999,NA,NA,1.3,1.3,NA,NA,NA
"wcpfc",171.5,-41.5,2012,27,27,1150.6,1150.6,0,0,0
"wcpfc",171.5,-41.5,2014,21,21,1375.5,1375.5,0,0,0
"iotc",148.5,-40.5,1997,NA,NA,415,415,NA,NA,NA
"iotc",148.5,-40.5,1999,NA,NA,6.2,6.2,NA,NA,NA
"wcpfc",148.5,-40.5,2000,18,13.54,287,287,0,0,0
"iotc",149.5,-40.5,1997,NA,NA,60,60,NA,NA,NA
"wcpfc",172.5,-40.5,2014,12,12,836,836,0,0,0
"wcpfc",172.5,-40.5,2015,4.17,4.17,101.166,101.166,0,0,0
"wcpfc",177.5,-40.5,1999,7.16,7.16,356.825,356.825,0,0,0
"iotc",140.5,-39.5,1997,NA,NA,15,15,NA,NA,NA
"iotc",148.5,-39.5,1997,NA,NA,149,149,NA,NA,NA
"iotc",148.5,-39.5,1998,NA,NA,49,49,NA,NA,NA
"wcpfc",148.5,-39.5,2000,27,19.67,307.5,307.5,0,0,0
"iotc",149.5,-39.5,1999,NA,NA,63,63,NA,NA,NA
"iotc",149.5,-39.5,2001,NA,NA,40,40,NA,NA,NA
"wcpfc",172.5,-39.5,2005,14.03,14.03,656.567,656.567,0,0,0
"wcpfc",172.5,-39.5,2011,22,22,1176.1,1176.1,0,0,0
"wcpfc",177.5,-39.5,1983,11,7.01,103,103,0,0,0
"wcpfc",177.5,-39.5,1999,8.18,8.18,302.637,302.637,0,0,0
"wcpfc",178.5,-39.5,1996,22.01,22.01,569.997,569.997,0,0,0
"wcpfc",178.5,-39.5,1999,13.29,13.29,257.65,257.65,0,0,0
"iccat",-55.5,-38.5,2009,1,0,8,3,0,0,5
"iccat",-55.5,-38.5,2010,23,0,114.05,0.102,113.948,0,0
"iccat",-36.5,-38.5,1996,0,30,6.758,0,6.758,0,0
"iotc",147.5,-38.5,1998,NA,NA,5,5,NA,NA,NA
"iotc",147.5,-38.5,1999,NA,NA,34,34,NA,NA,NA
"iotc",148.5,-38.5,1994,NA,NA,0.5,0.5,NA,NA,NA
"iotc",148.5,-38.5,1998,NA,NA,117,117,NA,NA,NA
"iotc",148.5,-38.5,1999,NA,NA,1755,1755,NA,NA,NA
"wcpfc",148.5,-38.5,2000,22,16.17,163.9,163.9,0,0,0
"iotc",148.5,-38.5,2008,NA,NA,15.2,15.2,NA,NA,NA
"wcpfc",149.5,-38.5,1992,12,9.85,0.3,0,0,0,0.3
"wcpfc",149.5,-38.5,1997,9.93,6.95,136.636,136.636,0,0,0
"iotc",149.5,-38.5,1998,NA,NA,12,12,NA,NA,NA
"iotc",149.5,-38.5,1999,NA,NA,160.589,160.589,NA,NA,NA
"wcpfc",149.5,-38.5,2000,11,6.97,231,231,0,0,0
"wcpfc",149.5,-38.5,2001,8.25,5.5,180.033,180.033,0,0,0
"wcpfc",173.5,-38.5,1990,19.01,27.41,434.795,434.795,0,0,0
"wcpfc",174.5,-38.5,2003,41.97,41.97,1260.699,1260.699,0,0,0
"wcpfc",174.5,-38.5,2004,50.53,50.53,3123.129,3123.129,0,0,0
"wcpfc",174.5,-38.5,2005,59.14,59.14,2757.062,2757.062,0,0,0
"wcpfc",174.5,-38.5,2006,72,72,3018.1,3018.1,0,0,0
"wcpfc",174.5,-38.5,2007,40.92,40.92,1624.146,1624.146,0,0,0
"wcpfc",174.5,-38.5,2008,29,29,1247.9,1247.9,0,0,0
"wcpfc",174.5,-38.5,2009,18.1,18.1,520.733,520.733,0,0,0
"wcpfc",174.5,-38.5,2011,84,84,4066.8,4066.8,0,0,0
"wcpfc",174.5,-38.5,2012,41,41,1869,1868.8,0,0,0.2
"wcpfc",174.5,-38.5,2013,43,43,3193.4,3193.4,0,0,0
"wcpfc",174.5,-38.5,2014,10,10,330.6,330.6,0,0,0
"wcpfc",174.5,-38.5,2015,23.99,23.99,817.673,817.673,0,0,0
"wcpfc",174.5,-38.5,2017,15,15,711,711,0,0,0
"wcpfc",178.5,-38.5,1996,4.4,4.4,88.03,88.03,0,0,0
"wcpfc",179.5,-38.5,1995,9.55,9.55,271.685,271.685,0,0,0
"wcpfc",179.5,-38.5,1996,15.4,15.4,564.495,561.194,0,0,3.301
"wcpfc",179.5,-38.5,2004,16.39,16.39,245.579,245.579,0,0,0
"iccat",-55.5,-37.5,2010,3,0,12.517,0,12.517,0,0
"iccat",-54.5,-37.5,2010,0,0,3.093,0,3.093,0,0
"iccat",-51.5,-37.5,2023,3,0,34,32,0,0,2
"iccat",1.5,-37.5,1996,0,30,4.016,0,4.016,0,0
"wcpfc",150.5,-37.5,1993,27,32.3,305.55,305.55,0,0,0
"wcpfc",150.5,-37.5,1994,65.82,48.11,1145.06,1145.06,0,0,0
"wcpfc",150.5,-37.5,1997,75.7,47.72,1221.537,1221.537,0,0,0
"wcpfc",150.5,-37.5,1999,24,15.21,282,282,0,0,0
"wcpfc",150.5,-37.5,2000,52,28.62,788,788,0,0,0
"wcpfc",150.5,-37.5,2001,9.62,6.41,83.145,83.145,0,0,0
"wcpfc",173.5,-37.5,1990,19.01,29.84,282.192,282.192,0,0,0
"wcpfc",174.5,-37.5,1990,9,14.59,57.039,57.039,0,0,0
"wcpfc",174.5,-37.5,1994,17.76,17.76,523.727,523.727,0,0,0
"wcpfc",174.5,-37.5,2004,21.85,21.85,778.118,778.118,0,0,0
"wcpfc",174.5,-37.5,2005,22.05,22.05,757.292,757.292,0,0,0
"wcpfc",174.5,-37.5,2006,13,13,773.5,773.5,0,0,0
"wcpfc",174.5,-37.5,2010,12,12,1205.8,1205.8,0,0,0
"wcpfc",174.5,-37.5,2012,17,17,813.2,813.2,0,0,0
"wcpfc",174.5,-37.5,2013,5,5,51.7,51.7,0,0,0
"wcpfc",174.5,-37.5,2018,9.18,9.18,234.474,234.474,0,0,0
"wcpfc",176.5,-37.5,1983,28,19.16,264,264,0,0,0
"wcpfc",176.5,-37.5,1984,108,57.58,1521,1521,0,0,0
"wcpfc",176.5,-37.5,1985,74,34.95,844,844,0,0,0
"wcpfc",176.5,-37.5,1986,149,76.37,2112,2112,0,0,0
"wcpfc",176.5,-37.5,1987,102,55.49,846,845,0,0,1
"wcpfc",176.5,-37.5,1988,153.31,81.64,941.53,941.53,0,0,0
"wcpfc",176.5,-37.5,1999,11.25,11.25,422.259,422.259,0,0,0
"wcpfc",176.5,-37.5,2000,6.24,6.24,253.616,253.616,0,0,0
"wcpfc",176.5,-37.5,2001,3.27,3.27,17.441,17.441,0,0,0
"wcpfc",176.5,-37.5,2004,10.93,10.93,214.437,214.437,0,0,0
"wcpfc",176.5,-37.5,2005,4.01,4.01,33.074,33.074,0,0,0
"wcpfc",176.5,-37.5,2008,5,5,98,98,0,0,0
"wcpfc",176.5,-37.5,2011,9,9,152,152,0,0,0
"wcpfc",176.5,-37.5,2012,8,8,98,98,0,0,0
"wcpfc",176.5,-37.5,2013,3,3,42,42,0,0,0
"wcpfc",177.5,-37.5,1983,20,12.55,345,345,0,0,0
"wcpfc",177.5,-37.5,1984,65,34.59,747,747,0,0,0
"wcpfc",177.5,-37.5,1985,28,13.24,594,594,0,0,0
"wcpfc",177.5,-37.5,1986,13,6.32,267,267,0,0,0
"wcpfc",177.5,-37.5,1987,46,21.11,808,808,0,0,0
"wcpfc",177.5,-37.5,1990,41,41,894.3,894.3,0,0,0
"wcpfc",177.5,-37.5,1991,41,41,959,959,0,0,0
"wcpfc",177.5,-37.5,1992,15,15,334,334,0,0,0
"wcpfc",177.5,-37.5,1994,26.64,26.64,325.11,325.11,0,0,0
"wcpfc",177.5,-37.5,1995,7.16,7.16,103.897,103.897,0,0,0
"wcpfc",177.5,-37.5,1996,7.7,7.7,43.465,43.465,0,0,0
"wcpfc",177.5,-37.5,1997,49.89,49.89,1377.178,1377.178,0,0,0
"wcpfc",177.5,-37.5,1998,58.96,58.96,2209.08,2209.08,0,0,0
"wcpfc",177.5,-37.5,1999,3.07,3.07,184.036,184.036,0,0,0
"wcpfc",177.5,-37.5,2000,120.58,120.58,3850.598,3850.598,0,0,0
"wcpfc",177.5,-37.5,2001,110.09,110.09,2128.759,2128.759,0,0,0
"wcpfc",177.5,-37.5,2002,52.14,52.14,660.177,660.177,0,0,0
"wcpfc",177.5,-37.5,2003,30.71,30.71,591.193,591.193,0,0,0
"wcpfc",177.5,-37.5,2004,58.74,58.74,946.253,946.253,0,0,0
"wcpfc",177.5,-37.5,2005,19.05,19.05,366.319,366.319,0,0,0
"wcpfc",177.5,-37.5,2006,17,17,494.7,494.7,0,0,0
"wcpfc",177.5,-37.5,2007,19.91,19.91,556.202,556.202,0,0,0
"wcpfc",177.5,-37.5,2008,94,94,2628.4,2628.4,0,0,0
"wcpfc",177.5,-37.5,2009,12.07,12.07,155.848,155.848,0,0,0
"wcpfc",177.5,-37.5,2010,36,36,585.1,585.1,0,0,0
"wcpfc",177.5,-37.5,2011,16,16,200,200,0,0,0
"wcpfc",177.5,-37.5,2012,20,20,387,387,0,0,0
"wcpfc",177.5,-37.5,2013,95,95,2791.1,2791.1,0,0,0
"wcpfc",177.5,-37.5,2014,29,29,1018,1018,0,0,0
"wcpfc",177.5,-37.5,2015,41.72,41.72,1007.489,1007.489,0,0,0
"wcpfc",177.5,-37.5,2016,20,20,387.1,387.1,0,0,0
"wcpfc",177.5,-37.5,2017,7,7,90,90,0,0,0
"wcpfc",177.5,-37.5,2018,16.31,16.31,332.341,332.341,0,0,0
"wcpfc",177.5,-37.5,2019,52.96,52.96,1850.265,1850.265,0,0,0
"wcpfc",178.5,-37.5,1991,20,20,497.5,497.5,0,0,0
"wcpfc",178.5,-37.5,1996,6.6,6.6,78.457,74.826,0,0,3.631
"wcpfc",178.5,-37.5,1997,3.24,3.24,100.888,100.888,0,0,0
"wcpfc",178.5,-37.5,1998,73.98,73.98,2978.343,2978.343,0,0,0
"wcpfc",178.5,-37.5,1999,14.31,14.31,787.263,787.263,0,0,0
"wcpfc",178.5,-37.5,2000,33.26,33.26,1606.408,1606.408,0,0,0
"wcpfc",178.5,-37.5,2002,21.14,21.14,352.987,352.987,0,0,0
"wcpfc",178.5,-37.5,2003,17.4,17.4,294.316,294.316,0,0,0
"wcpfc",178.5,-37.5,2004,43.71,43.71,893.259,893.259,0,0,0
"wcpfc",178.5,-37.5,2005,25.05,25.05,693.55,693.55,0,0,0
"wcpfc",178.5,-37.5,2006,28,28,496.1,496.1,0,0,0
"wcpfc",178.5,-37.5,2008,18,18,1027.7,1027.7,0,0,0
"wcpfc",178.5,-37.5,2009,27.15,27.15,999.236,999.236,0,0,0
"wcpfc",178.5,-37.5,2010,26,26,639,639,0,0,0
"wcpfc",178.5,-37.5,2012,14,14,301,301,0,0,0
"wcpfc",178.5,-37.5,2013,12,12,314.2,314.2,0,0,0
"wcpfc",178.5,-37.5,2015,27.11,27.11,1265.098,1265.098,0,0,0
"wcpfc",178.5,-37.5,2016,17,17,460,460,0,0,0
"wcpfc",178.5,-37.5,2018,7.14,7.14,355.788,355.788,0,0,0
"wcpfc",178.5,-37.5,2019,5.19,5.19,584.639,584.639,0,0,0
"wcpfc",179.5,-37.5,2004,9.56,9.56,274.534,274.534,0,0,0
"iccat",-53.5,-36.5,2010,0,0,5.307,5.307,0,0,0
"iccat",-52.5,-36.5,2010,0,0,6.546,6.528,0,0,0.018
"iccat",1.5,-36.5,1996,0,30,4.15,0,4.15,0,0
"iccat",19.5,-36.5,1979,0,0,64,0,0,0,64
"iotc",136.5,-36.5,2008,NA,NA,31,31,NA,NA,NA
"wcpfc",150.5,-36.5,1992,4,5.82,7,7,0,0,0
"wcpfc",150.5,-36.5,1993,130.5,153.89,3388.95,3388.95,0,0,0
"wcpfc",150.5,-36.5,1994,104.9,77.42,1910.215,1910.215,0,0,0
"wcpfc",150.5,-36.5,1996,18.8,11.7,436.716,436.716,0,0,0
"wcpfc",150.5,-36.5,1997,75.7,46.92,1153.279,1153.279,0,0,0
"wcpfc",150.5,-36.5,1999,45,25.22,1021,1021,0,0,0
"wcpfc",150.5,-36.5,2000,94,50.87,1312,1309,0,0,3
"wcpfc",150.5,-36.5,2003,10,7.41,283,283,0,0,0
"wcpfc",175.5,-36.5,1983,17,9.23,196,196,0,0,0
"wcpfc",175.5,-36.5,1986,56,26.46,740,740,0,0,0
"wcpfc",175.5,-36.5,1987,18,8.69,269,269,0,0,0
"wcpfc",176.5,-36.5,1983,27,16.01,292,292,0,0,0
"wcpfc",176.5,-36.5,1984,47,23.94,536,536,0,0,0
"wcpfc",176.5,-36.5,1986,51,23.87,692,692,0,0,0
"wcpfc",176.5,-36.5,1987,47,22.54,767,767,0,0,0
"wcpfc",176.5,-36.5,1988,79.67,45.57,737.532,737.532,0,0,0
"wcpfc",176.5,-36.5,1990,22.01,20.66,651.536,651.536,0,0,0
"wcpfc",176.5,-36.5,1991,14,14,575,575,0,0,0
"wcpfc",176.5,-36.5,1996,12.1,12.1,136.556,136.556,0,0,0
"wcpfc",176.5,-36.5,1997,3.25,3.25,222.388,222.388,0,0,0
"wcpfc",176.5,-36.5,1998,3.47,3.47,17.339,17.339,0,0,0
"wcpfc",176.5,-36.5,1999,15.34,15.34,567.443,567.443,0,0,0
"wcpfc",176.5,-36.5,2000,31.18,31.18,1041.489,1041.489,0,0,0
"wcpfc",176.5,-36.5,2002,36.63,36.63,930.026,930.026,0,0,0
"wcpfc",176.5,-36.5,2003,7.17,7.17,51.186,51.186,0,0,0
"wcpfc",176.5,-36.5,2005,25.05,25.05,913.141,913.141,0,0,0
"wcpfc",176.5,-36.5,2006,4,4,15,15,0,0,0
"wcpfc",176.5,-36.5,2007,5.53,5.53,276.498,276.498,0,0,0
"wcpfc",176.5,-36.5,2008,6,6,121,121,0,0,0
"wcpfc",176.5,-36.5,2009,11.06,11.06,83.957,83.957,0,0,0
"wcpfc",176.5,-36.5,2010,11,11,490,490,0,0,0
"wcpfc",176.5,-36.5,2011,10,10,226,226,0,0,0
"wcpfc",176.5,-36.5,2012,5,5,78,78,0,0,0
"wcpfc",176.5,-36.5,2013,11,11,209,209,0,0,0
"wcpfc",176.5,-36.5,2014,30,30,587,587,0,0,0
"wcpfc",176.5,-36.5,2015,15.64,15.64,1148.288,1148.288,0,0,0
"wcpfc",176.5,-36.5,2017,10,10,325,325,0,0,0
"wcpfc",176.5,-36.5,2018,3.06,3.06,86.653,86.653,0,0,0
"wcpfc",176.5,-36.5,2020,22.66,12.19,708.186,708.186,0,0,0
"wcpfc",177.5,-36.5,1990,26,26,870.8,870.8,0,0,0
"wcpfc",177.5,-36.5,1991,37,37,1709,1709,0,0,0
"wcpfc",177.5,-36.5,1992,8,8,106,106,0,0,0
"wcpfc",177.5,-36.5,2000,12.48,12.48,442.789,442.789,0,0,0
"wcpfc",177.5,-36.5,2002,18.31,18.31,419.921,419.921,0,0,0
"wcpfc",177.5,-36.5,2005,16.03,16.03,441.387,441.387,0,0,0
"wcpfc",177.5,-36.5,2007,7.75,7.75,220.092,220.092,0,0,0
"wcpfc",177.5,-36.5,2009,21.12,21.12,497.406,497.406,0,0,0
"wcpfc",177.5,-36.5,2010,13,13,547.4,547.4,0,0,0
"wcpfc",177.5,-36.5,2012,8,8,468,468,0,0,0
"wcpfc",177.5,-36.5,2013,7,7,277,277,0,0,0
"wcpfc",177.5,-36.5,2014,21,21,563,563,0,0,0
"wcpfc",177.5,-36.5,2015,11.47,11.47,782.213,782.213,0,0,0
"wcpfc",177.5,-36.5,2016,15,15,662.8,662.8,0,0,0
"wcpfc",177.5,-36.5,2017,9,9,130,130,0,0,0
"wcpfc",177.5,-36.5,2019,20.76,20.76,673.825,673.825,0,0,0
"iccat",-5.5,-35.5,1996,0,29,3.874,0,3.874,0,0
"iccat",3.5,-35.5,1996,0,29,3.987,0,3.987,0,0
"iccat",19.5,-35.5,1979,0,0,38,0,0,0,38
"iccat",19.5,-35.5,1980,0,0,13,0,0,0,13
"iotc",132.5,-35.5,1996,NA,NA,125,125,NA,NA,NA
"iotc",133.5,-35.5,2008,NA,NA,25,25,NA,NA,NA
"iotc",134.5,-35.5,2008,NA,NA,169,169,NA,NA,NA
"iotc",134.5,-35.5,2009,NA,NA,80,80,NA,NA,NA
"iotc",134.5,-35.5,2012,NA,NA,0.1,0.1,NA,NA,NA
"iotc",135.5,-35.5,2008,NA,NA,28,28,NA,NA,NA
"iotc",135.5,-35.5,2009,NA,NA,172,172,NA,NA,NA
"iotc",135.5,-35.5,2013,NA,NA,0.5,0.5,NA,NA,NA
"wcpfc",150.5,-35.5,1996,53.07,35.27,790.732,790.732,0,0,0
"wcpfc",150.5,-35.5,1997,38.47,25.75,462.9,462.9,0,0,0
"wcpfc",150.5,-35.5,1999,8,4.42,182.8,182.8,0,0,0
"wcpfc",150.5,-35.5,2000,32,18.85,331,331,0,0,0
"wcpfc",150.5,-35.5,2003,11,8.15,141,141,0,0,0
"wcpfc",151.5,-35.5,1996,22.11,14.82,216.147,216.147,0,0,0
"wcpfc",174.5,-35.5,1983,40,21.5,450,450,0,0,0
"wcpfc",174.5,-35.5,1988,60.36,30.18,735.118,735.118,0,0,0
"wcpfc",174.5,-35.5,1999,7.16,7.16,156.43,156.43,0,0,0
"wcpfc",174.5,-35.5,2006,4,4,250,250,0,0,0
"wcpfc",175.5,-35.5,1983,109,58.79,1536,1534,0,0,2
"wcpfc",175.5,-35.5,1986,15,7.01,224,224,0,0,0
"wcpfc",175.5,-35.5,1987,48,24.02,791,791,0,0,0
"wcpfc",175.5,-35.5,1988,39.84,21.48,554.055,554.055,0,0,0
"wcpfc",175.5,-35.5,1989,7.06,10.59,128.011,128.011,0,0,0
"wcpfc",175.5,-35.5,1990,52.04,46.63,955.849,955.849,0,0,0
"wcpfc",175.5,-35.5,1991,31,31,1632,1632,0,0,0
"wcpfc",175.5,-35.5,1994,36.62,36.62,958.686,958.686,0,0,0
"wcpfc",175.5,-35.5,1996,8.8,8.8,158.454,158.454,0,0,0
"wcpfc",175.5,-35.5,1997,13.01,13.01,683.979,683.979,0,0,0
"wcpfc",175.5,-35.5,2000,3.12,3.12,130.03,130.03,0,0,0
"wcpfc",175.5,-35.5,2001,21.8,21.8,453.025,453.025,0,0,0
"wcpfc",175.5,-35.5,2003,10.23,10.23,240.572,240.572,0,0,0
"wcpfc",175.5,-35.5,2004,17.76,17.76,344.875,344.875,0,0,0
"wcpfc",175.5,-35.5,2005,32.07,32.07,641.032,641.032,0,0,0
"wcpfc",175.5,-35.5,2006,5,5,82,82,0,0,0
"wcpfc",175.5,-35.5,2007,49.78,49.78,2128.92,2128.92,0,0,0
"wcpfc",175.5,-35.5,2008,15,15,1228.7,1228.7,0,0,0
"wcpfc",175.5,-35.5,2009,27.15,27.15,1545.106,1545.106,0,0,0
"wcpfc",175.5,-35.5,2010,51,51,1984.7,1984.7,0,0,0
"wcpfc",175.5,-35.5,2011,18,18,622.7,622.7,0,0,0
"wcpfc",175.5,-35.5,2012,9,9,491,491,0,0,0
"wcpfc",175.5,-35.5,2013,12,12,417.2,417.2,0,0,0
"wcpfc",175.5,-35.5,2014,15,15,491,491,0,0,0
"wcpfc",175.5,-35.5,2015,32.33,32.33,1395.675,1395.675,0,0,0
"wcpfc",175.5,-35.5,2017,12,12,203.5,203.5,0,0,0
"wcpfc",175.5,-35.5,2018,20.39,20.39,868.979,868.979,0,0,0
"wcpfc",175.5,-35.5,2020,37.09,19.23,1720.499,1720.499,0,0,0
"wcpfc",176.5,-35.5,1983,11,5.5,460,460,0,0,0
"wcpfc",176.5,-35.5,1990,34,34,1044.6,1044.6,0,0,0
"wcpfc",176.5,-35.5,1991,21,21,990.5,990.5,0,0,0
"wcpfc",176.5,-35.5,1992,7,7,157,157,0,0,0
"wcpfc",176.5,-35.5,1994,15.53,15.53,479.343,479.343,0,0,0
"wcpfc",176.5,-35.5,1996,30.81,30.81,1097.079,1097.079,0,0,0
"wcpfc",176.5,-35.5,1997,17.35,17.35,847.244,847.244,0,0,0
"wcpfc",176.5,-35.5,1998,40.46,40.46,1910.967,1910.967,0,0,0
"wcpfc",176.5,-35.5,1999,12.27,12.27,832.25,832.25,0,0,0
"wcpfc",176.5,-35.5,2000,15.59,15.59,1355.391,1355.391,0,0,0
"wcpfc",176.5,-35.5,2001,8.72,8.72,238.721,238.721,0,0,0
"wcpfc",176.5,-35.5,2002,40.87,40.87,1063.752,1063.752,0,0,0
"wcpfc",176.5,-35.5,2003,37.88,37.88,971.706,971.706,0,0,0
"wcpfc",176.5,-35.5,2005,20.04,20.04,419.939,419.939,0,0,0
"wcpfc",176.5,-35.5,2006,13,13,228,228,0,0,0
"wcpfc",176.5,-35.5,2007,46.46,46.46,1685.529,1685.529,0,0,0
"wcpfc",176.5,-35.5,2008,18,18,1151.8,1151.8,0,0,0
"wcpfc",176.5,-35.5,2010,10,10,387,387,0,0,0
"wcpfc",176.5,-35.5,2011,33,33,1076,1076,0,0,0
"wcpfc",176.5,-35.5,2012,20,20,562,562,0,0,0
"wcpfc",176.5,-35.5,2014,4,4,156,156,0,0,0
"wcpfc",176.5,-35.5,2015,30.25,30.25,1911.727,1911.727,0,0,0
"wcpfc",176.5,-35.5,2016,23,23,733,733,0,0,0
"wcpfc",176.5,-35.5,2017,16,16,691,691,0,0,0
"wcpfc",176.5,-35.5,2018,4.08,4.08,211.026,211.026,0,0,0
"wcpfc",177.5,-35.5,1990,11,11,262,262,0,0,0
"wcpfc",177.5,-35.5,1991,7,7,255,255,0,0,0
"wcpfc",177.5,-35.5,2002,16.91,16.91,755.293,755.293,0,0,0
"wcpfc",177.5,-35.5,2005,14.03,14.03,688.238,688.238,0,0,0
"wcpfc",177.5,-35.5,2007,26.55,26.55,2042.321,2042.321,0,0,0
"wcpfc",177.5,-35.5,2014,4,4,137,137,0,0,0
"wcpfc",177.5,-35.5,2016,5,5,143,143,0,0,0
"iccat",-52.5,-34.5,2022,4,0,3,3,0,0,0
"iccat",-51.5,-34.5,2022,18,0,24.2,23,0,0,1.2
"iccat",-51.5,-34.5,2023,2,0,20,20,0,0,0
"iccat",4.5,-34.5,1996,0,24,3.171,0,3.171,0,0
"iccat",18.5,-34.5,1972,1,0,2.8,0,0,0,2.8
"iccat",18.5,-34.5,1980,0,0,1,0,1,0,0
"iotc",86.5,-34.5,2023,NA,1,0.05,0.05,NA,NA,NA
"iotc",130.5,-34.5,1994,NA,NA,30,30,NA,NA,NA
"iotc",131.5,-34.5,1994,NA,NA,25,25,NA,NA,NA
"iotc",132.5,-34.5,1994,NA,NA,252,252,NA,NA,NA
"iotc",132.5,-34.5,1995,NA,NA,16,13,3,NA,NA
"iotc",132.5,-34.5,1996,NA,NA,57,57,NA,NA,NA
"iotc",132.5,-34.5,1998,NA,NA,23,23,NA,NA,NA
"iotc",132.5,-34.5,2001,NA,NA,18,18,NA,NA,NA
"iotc",132.5,-34.5,2008,NA,NA,58,58,NA,NA,NA
"iotc",132.5,-34.5,2009,NA,NA,70,70,NA,NA,NA
"iotc",133.5,-34.5,1994,NA,NA,188,188,NA,NA,NA
"iotc",133.5,-34.5,1998,NA,NA,53,53,NA,NA,NA
"iotc",133.5,-34.5,2001,NA,NA,3,3,NA,NA,NA
"iotc",133.5,-34.5,2008,NA,NA,329,329,NA,NA,NA
"iotc",133.5,-34.5,2009,NA,NA,15,15,NA,NA,NA
"iotc",134.5,-34.5,2009,NA,NA,196,196,NA,NA,NA
"iotc",134.5,-34.5,2012,NA,NA,0.1,0.1,NA,NA,NA
"wcpfc",151.5,-34.5,1995,58.26,39.76,2043,2043,0,0,0
"wcpfc",151.5,-34.5,1996,30.96,17.69,406.864,406.864,0,0,0
"wcpfc",151.5,-34.5,2000,9,9,12,12,0,0,0
"wcpfc",172.5,-34.5,2000,17.42,23.49,939.553,839.427,0,0,100.126
"wcpfc",172.5,-34.5,2013,21,19,1852.2,1852.2,0,0,0
"wcpfc",173.5,-34.5,1998,3.47,3.47,119.06,119.06,0,0,0
"wcpfc",174.5,-34.5,1990,48,48,1494.7,1494.7,0,0,0
"wcpfc",174.5,-34.5,1992,4,4,52,52,0,0,0
"wcpfc",174.5,-34.5,1993,9.32,9.32,328.209,328.209,0,0,0
"wcpfc",174.5,-34.5,1995,5.97,5.97,256.757,256.757,0,0,0
"wcpfc",174.5,-34.5,1997,57.5,57.5,2717.474,2717.474,0,0,0
"wcpfc",174.5,-34.5,1998,15.03,15.03,602.466,602.466,0,0,0
"wcpfc",174.5,-34.5,1999,14.31,14.31,320.221,320.221,0,0,0
"wcpfc",174.5,-34.5,2001,8.72,8.72,87.204,87.204,0,0,0
"wcpfc",174.5,-34.5,2004,17.76,17.76,345.011,345.011,0,0,0
"wcpfc",174.5,-34.5,2005,49.12,49.12,845.691,845.691,0,0,0
"wcpfc",174.5,-34.5,2007,16.59,16.59,572.903,572.903,0,0,0
"wcpfc",174.5,-34.5,2010,6,6,150,150,0,0,0
"wcpfc",174.5,-34.5,2012,19,19,1160.7,1160.7,0,0,0
"wcpfc",174.5,-34.5,2013,14,12.83,1378.6,1378.6,0,0,0
"wcpfc",174.5,-34.5,2014,9,10,170.1,170.1,0,0,0
"wcpfc",174.5,-34.5,2015,40.67,40.67,1063.809,1063.809,0,0,0
"wcpfc",174.5,-34.5,2017,49,49,1513.2,1513.1,0,0,0.1
"wcpfc",174.5,-34.5,2018,19.37,19.37,460.384,460.384,0,0,0
"wcpfc",174.5,-34.5,2019,15.58,15.58,824.267,824.267,0,0,0
"wcpfc",175.5,-34.5,1995,11.94,11.94,482.465,482.465,0,0,0
"wcpfc",175.5,-34.5,1996,3.3,3.3,60.631,60.631,0,0,0
"wcpfc",175.5,-34.5,1997,4.34,4.34,170.317,170.317,0,0,0
"wcpfc",175.5,-34.5,2012,6,6,107,107,0,0,0
"wcpfc",176.5,-34.5,1995,4.78,4.78,213.765,213.765,0,0,0
"iccat",-52.5,-33.5,2022,4,0,35,35,0,0,0
"iccat",-51.5,-33.5,2007,4,4,33,33,0,0,0
"iccat",-51.5,-33.5,2022,18,0,237.339,237.226,0,0,0.113
"iccat",-51.5,-33.5,2023,6,0,127,125,0,0,2
"iccat",-50.5,-33.5,2022,5,0,3,3,0,0,0
"iccat",-50.5,-33.5,2023,3,0,29,28,0,0,1
"iccat",-3.5,-33.5,1995,0,18,1.017,0,1.017,0,0
"iccat",-3.5,-33.5,1996,0,22,2.892,0,2.892,0,0
"iotc",129.5,-33.5,1999,NA,NA,4,4,NA,NA,NA
"iotc",129.5,-33.5,2001,NA,NA,60,60,NA,NA,NA
"iotc",130.5,-33.5,1994,NA,NA,334,334,NA,NA,NA
"iotc",130.5,-33.5,1998,NA,NA,57,57,NA,NA,NA
"iotc",130.5,-33.5,2002,NA,NA,66,66,NA,NA,NA
"iotc",130.5,-33.5,2006,NA,NA,50,50,NA,NA,NA
"iotc",131.5,-33.5,1994,NA,NA,180,180,NA,NA,NA
"iotc",131.5,-33.5,1995,NA,NA,422,422,NA,NA,NA
"iotc",131.5,-33.5,1996,NA,NA,12,12,NA,NA,NA
"iotc",131.5,-33.5,1997,NA,NA,12,12,NA,NA,NA
"iotc",131.5,-33.5,1998,NA,NA,190,190,NA,NA,NA
"iotc",131.5,-33.5,1999,NA,NA,120,120,NA,NA,NA
"iotc",131.5,-33.5,2001,NA,NA,25,25,NA,NA,NA
